rodada;atleta_id;nome;time;adversario;mandante;posicao_id;pontos;CA;DS;FC;FF;I;FS;SG;G;FD;PS;DE;GS;PC;V;FT;A;GC;CV
1;51772;Everton Ribeiro;BAH;COR;False;4;1.5;;1.0;;;;;;;;;;;;;;;;
1;61987;Alex Sandro;FLA;SAO;False;2;1.0;;;;;;2.0;;;;;;;;;;;;
1;62977;Ganso;FLU;GRE;True;4;-0.3;;;1.0;;;;;;;;;;;;;;;
1;63013;Marcos Rocha;GRE;FLU;False;2;0.0;;;;;;;;;;;;;;;;;;
1;63289;Edenílson;GRE;FLU;False;4;2.5;;1.0;1.0;1.0;;1.0;;;;;;;;;;;;
1;68685;Alan Patrick;INT;CAP;True;4;3.0;;;;1.0;;2.0;;;1.0;;;;;;;;;
1;68708;Eduardo;MIR;VAS;True;4;7.0;;;5.0;;;1.0;;1.0;;;;;;;;;;
1;68806;Neto;BOT;CRU;True;1;10.2;;;;;;;1.0;;;;4.0;;;;;;;
1;68899;Philippe Coutinho;VAS;MIR;False;4;10.8;;1.0;;1.0;;1.0;;1.0;;;;;;;;;;
1;68920;Dudu;CAM;PAL;True;5;2.5;;1.0;1.0;1.0;;1.0;;;;;;;;;;;;
1;68928;Rafael;SAO;FLA;True;1;4.2;;;;;;;;;;;4.0;1.0;;;;;;
1;68938;Giovanni Augusto;CHA;SAN;True;4;1.7;;1.0;1.0;;;1.0;;;;;;;;;;;;
1;68996;Willian José;BAH;COR;False;5;9.5;;1.0;;;;;;1.0;;;;;;;;;;
1;69012;Santos;CAP;INT;False;1;11.5;;;;;;;1.0;;;;5.0;;;;;;;
1;69140;Allan;BOT;CRU;True;4;2.8;1.0;1.0;1.0;2.0;;2.0;;;;;;;;;;;;
1;69208;Gabriel Paulista;COR;BAH;True;3;-0.3;;;1.0;;;;;;;;;;;;;;;
1;70164;Lucas Moura;SAO;FLA;True;4;-0.3;;;1.0;;;;;;;;;;;;;;;
1;70360;Eduardo Sasha;RBB;CFC;False;5;3.9;;1.0;;;;;;;2.0;;;;;;;;;
1;70449;Gabriel;VIT;REM;True;1;6.8;;;;;;1.0;1.0;;;;1.0;;;;;;;
1;70666;Marllon;REM;VIT;False;3;3.5;;2.0;;;;1.0;;;;;;;;;;;;
1;70800;Jorge Sampaoli;CAM;PAL;True;6;3.81;;;;;;;;;;;;;;;;;;
1;70944;Bruno Henrique;INT;CAP;True;4;2.2;;;1.0;1.0;;1.0;;;1.0;;;;;;;;;
1;70958;Jean Carlos;CHA;SAN;True;4;13.0;;;;;;;;1.0;;;;;;;;1.0;;
1;71043;Léo Vieira;CHA;SAN;True;1;2.2;1.0;;;;;;;;;;4.0;2.0;;;;;;
1;71123;Thiago Mendes;VAS;MIR;False;4;4.5;;2.0;;;;3.0;;;;;;;;;;;;
1;71227;Maicon;CFC;RBB;True;3;1.7;;1.0;1.0;;;1.0;;;;;;;;;;;;
1;71631;Weverton;GRE;FLU;False;1;3.2;;;;;;;;;;;4.0;2.0;;;;;;
1;71684;Gustavo Gómez;PAL;CAM;False;3;1.9;;1.0;2.0;;;2.0;;;;;;;;;;;;
1;72294;Everson;CAM;PAL;True;1;3.7;;;;;;1.0;;;;;4.0;2.0;;;;;;
1;72391;Fernando Diniz;VAS;MIR;False;6;4.0;;;;;;;;;;;;;;;;;;
1;72460;Bernard;CAM;PAL;True;4;-0.6;;;2.0;;;;;;;;;;;;;;;
1;72493;Alex Telles;BOT;CRU;True;2;8.0;;2.0;;;;;1.0;;;;;;;;;;;
1;73384;Samuel Xavier;FLU;GRE;True;2;3.7;;2.0;1.0;;;2.0;;;;;;;;;;;;
1;73481;Gilmar Dal Pozzo;CHA;SAN;True;6;7.95;;;;;;;;;;;;;;1.0;;;;
1;73717;Juan Carlos Osorio;REM;VIT;False;6;1.97;;;;;;;;;;;;;;;;;;
1;77485;Carrillo;COR;BAH;True;4;3.2;;2.0;1.0;;;1.0;;;;;;;;;;;;
1;77656;Cédric Soares;SAO;FLA;True;2;2.3;;1.0;;1.0;;;;;;;;;;;;;;
1;77777;João Schmidt;SAN;CHA;False;4;3.2;;2.0;1.0;;;1.0;;;;;;;;;;;;
1;78117;Everaldo;FLU;GRE;True;5;0.9;;;;;1.0;2.0;;;;;;;;;;;;
1;78248;Gustavo Henrique;COR;BAH;True;3;9.2;;5.0;1.0;1.0;;;;;1.0;;;;;;;;;
1;78435;Vitinho;COR;BAH;True;5;1.7;;1.0;1.0;;;1.0;;;;;;;;;;;;
1;78445;Renê;FLU;GRE;True;2;7.4;;1.0;1.0;;;;;;1.0;;;;;;;1.0;;
1;78605;Gabriel;RBB;CFC;False;4;0.7;1.0;1.0;1.0;;;1.0;;;;;;;;;;;;
1;78850;Reinaldo;MIR;VAS;True;2;0.8;;;;1.0;;;;;;;;;;;;;;
1;78855;Thiago Santos;CFC;RBB;True;3;0.0;;;;;;;;;;;;;;;;;;
1;79701;Lucas Silva;CRU;BOT;False;4;0.2;1.0;1.0;1.0;;;;;;;;;;;;;;;
1;80129;Jadson;CAP;INT;False;4;0.5;;;;;;1.0;;;;;;;;;;;;
1;80196;Yago Pikachu;REM;VIT;False;4;2.1;;;;2.0;;1.0;;;;;;;;;;;;
1;80287;Luciano;SAO;FLA;True;5;15.3;;2.0;1.0;3.0;;2.0;;1.0;1.0;;;;;;;;;
1;80313;Gilberto;BAH;COR;False;2;4.4;;;2.0;;;;;;;;;;;;;1.0;;
1;81952;Willian Oliveira;CFC;RBB;True;4;7.9;;5.0;2.0;;;2.0;;;;;;;;;;;;
1;82455;Zé Rafael;SAN;CHA;False;4;7.9;;;;3.0;;1.0;;;;;;;;;;1.0;;
1;82628;Tinga;CFC;RBB;True;2;5.0;;3.0;;;;1.0;;;;;;;;;;;;
1;82730;Marcelo Rangel;REM;VIT;False;1;3.2;;;;;;;;;;;4.0;2.0;;;;;;
1;83263;Yuri Lara;MIR;VAS;True;4;5.5;;3.0;;;;2.0;;;;;;;;;;;;
1;83433;Patrick;REM;VIT;False;4;1.3;;;;1.0;;1.0;;;;;;;;;;;;
1;83528;Léo Pereira;FLA;SAO;False;3;0.1;;;3.0;;;2.0;;;;;;;;;;;;
1;84339;Bruno Melo;CFC;RBB;True;2;2.1;1.0;2.0;1.0;;1.0;1.0;;;;;;;;;;;;
1;84558;Lucas Romero;CRU;BOT;False;4;2.2;;1.0;1.0;;;2.0;;;;;;;;;;;;
1;84626;Josué;CFC;RBB;True;4;-1.0;;1.0;1.0;1.0;;;;;;;;;;;;;;1.0
1;84735;Jorginho;FLA;SAO;False;4;-1.8;;1.0;1.0;;;;;;;;;;;;;;;1.0
1;84816;Varela;FLA;SAO;False;2;6.7;;4.0;1.0;;;2.0;;;;;;;;;;;;
1;84847;Luan Peres;SAN;CHA;False;3;1.7;;1.0;1.0;;;1.0;;;;;;;;;;;;
1;84927;Dodô;REM;VIT;False;4;-0.8;1.0;;1.0;;;1.0;;;;;;;;;;;;
1;85048;Memphis Depay;COR;BAH;True;5;3.7;;1.0;1.0;1.0;;1.0;;;1.0;;;;;;;;;
1;85403;Danielzinho;SAO;FLA;True;4;7.6;;;3.0;;;1.0;;1.0;;;;;;;;;;
1;85626;Léo;CAP;INT;False;3;4.7;;;1.0;;;;1.0;;;;;;;;;;;
1;86292;Bolasie;CHA;SAN;True;5;1.2;;1.0;1.0;;;;;;;;;;;;;;;
1;86757;Everton;FLA;SAO;False;5;3.2;;1.0;1.0;1.0;;;;;1.0;;;;;;;;;
